iter	Logloss
133	0.3878486447
134	0.3878267631
135	0.3877312987
136	0.3877163174
137	0.3876986407
138	0.3876770074
139	0.3875944706
140	0.3873870437
141	0.3873392563
142	0.3871957754
143	0.3870320952
144	0.386952808
145	0.3865218291
146	0.3863583772
147	0.3863472051
148	0.3861732186
149	0.3861367777
150	0.3859542593
151	0.3858913727
152	0.3855665493
153	0.3853200855
154	0.3852460689
155	0.3851078478
156	0.3850296617
157	0.3848598452
158	0.3845561451
159	0.384528037
160	0.3844897353
161	0.38436562
162	0.3843616717
163	0.3841977384
164	0.3840171462
165	0.3836725726
166	0.3834410778
167	0.3832300184
168	0.3831596521
169	0.3830481416
170	0.3829682396
171	0.3828656519
172	0.3826131357
173	0.3825996188
174	0.3823645919
175	0.3821267812
176	0.381714482
177	0.3815990951
178	0.3815990047
179	0.381598982
180	0.38159851
181	0.3815686176
182	0.3815452846
183	0.3815234252
184	0.3813804164
185	0.3812566733
186	0.3812433363
187	0.3812265758
188	0.380940477
189	0.3809232355
190	0.3808357974
191	0.3807257327
192	0.3807036032
193	0.3803028634
194	0.3801051827
195	0.3799958978
196	0.3798628926
197	0.379840528
198	0.3797827974
199	0.3795443518
200	0.3795443317
201	0.379466603
202	0.3794216155
203	0.3794195335
204	0.3794195324
205	0.3792584749
206	0.3789871791
207	0.3789057216
208	0.378893754
209	0.3788474707
210	0.3788456225
211	0.3787349005
212	0.3785555176
213	0.3783343418
214	0.37817434
215	0.3780474418
216	0.3779645493
217	0.3779616356
218	0.3777870096
219	0.3776258569
220	0.3773815511
221	0.377281343
222	0.3771515834
223	0.3767886638
224	0.3765290311
225	0.3764795741
226	0.3763855961
227	0.3761695611
228	0.3760555441
229	0.3759686055
230	0.3756663318
231	0.3753885302
232	0.3752792116
233	0.3751040212
234	0.3749445498
235	0.3745281094
236	0.3743356687
237	0.3741541697
238	0.373947345
239	0.3737810032
240	0.3734052942
241	0.3732204125
242	0.3729497258
243	0.3726637193
244	0.3723201863
245	0.3721445879
246	0.3719849403
247	0.3717287828
248	0.3714760072
249	0.3714534795
250	0.371344547
251	0.3712209122
252	0.3708299613
253	0.3706593024
254	0.3703721128
255	0.3703380185
256	0.3702378494
257	0.3701222031
258	0.3699855257
259	0.3698647069
260	0.3695071593
261	0.3694411953
262	0.3693298016
263	0.3689604402
264	0.3688043686
265	0.3684652987
266	0.3681471302
267	0.3679983035
268	0.3677602704
269	0.3676410807
270	0.3675197145
271	0.3674493706
272	0.3671842531
273	0.3670829653
274	0.3668296879
275	0.3666484508
276	0.3666228055
277	0.3665151354
278	0.3664194462
279	0.3661959269
280	0.3660343216
281	0.3658666551
282	0.3656565041
283	0.3655066372
284	0.3651699471
285	0.3650593784
286	0.3649529707
287	0.3647790042
288	0.3645960287
289	0.364378132
290	0.3643388555
291	0.3641293264
292	0.3640229628
293	0.3637632726
294	0.3636619239
295	0.3635624044
296	0.3634170774
297	0.3633587273
298	0.3631875911
299	0.3630282231
300	0.3628594879
301	0.3626818328
302	0.3625880266
303	0.3625339726
304	0.3622059137
305	0.3619126676
306	0.3618145725
307	0.3616375176
308	0.3615001112
309	0.3614022818
310	0.3613523121
311	0.3612272241
312	0.3611169422
313	0.3609823862
314	0.3608753847
315	0.3607711298
316	0.3606139922
317	0.3605289604
318	0.3604430688
319	0.3603832662
320	0.3603420859
321	0.3599738583
322	0.3598592045
323	0.3597311757
324	0.3595859662
325	0.3594162978
326	0.3591242055
327	0.3589898045
328	0.3587725806
329	0.3586460571
330	0.358450119
331	0.3583082333
332	0.3580359243
333	0.3578181522
334	0.3577171329
335	0.3576154315
336	0.3574647371
337	0.3570871641
338	0.3568836661
339	0.3568263919
340	0.3566897498
341	0.3564980178
342	0.35642775
343	0.3563343782
344	0.356294883
345	0.3560798378
346	0.3559254909
347	0.3558338172
348	0.3557163238
349	0.3556477198
350	0.3555752933
351	0.3555213205
352	0.3554078515
353	0.3552437775
354	0.3551790862
355	0.3550570094
356	0.3547029715
357	0.3544032224
358	0.3542503496
359	0.3541562239
360	0.3540317135
361	0.3538506632
362	0.3536979308
363	0.3533591115
364	0.3532486965
365	0.3529452228
366	0.3525154816
367	0.3522621764
368	0.3521143893
369	0.3520476147
370	0.3518637935
371	0.3517593988
372	0.3514909024
373	0.3513131655
374	0.3512508367
375	0.3510497815
376	0.3509666545
377	0.3509339837
378	0.3507635384
379	0.3507268103
380	0.3506834654
381	0.3506193634
382	0.3504978464
383	0.3503339255
384	0.3501550596
385	0.3500231293
386	0.3497698307
387	0.3494971283
388	0.34939487
389	0.349172141
390	0.3491126794
391	0.3490455164
392	0.3488034976
393	0.348610537
394	0.3483973797
395	0.34819431
396	0.3479919064
397	0.3478294121
398	0.3476328501
399	0.3475260442
400	0.3474680064
401	0.3472974036
402	0.3472243316
403	0.3470734583
404	0.346768512
405	0.3466920253
406	0.3465269416
407	0.346481376
408	0.3462508738
409	0.3460340085
410	0.3459516606
411	0.3457541352
412	0.345603854
413	0.3454177109
414	0.3453540684
415	0.3452536558
416	0.3451636452
417	0.3449139323
418	0.3446609041
419	0.3445802756
420	0.3443701798
421	0.3442743705
422	0.3440695929
423	0.3439019599
424	0.3437804084
425	0.3435350558
426	0.343394013
427	0.3432362223
428	0.3431533681
429	0.3428838317
430	0.3428091066
431	0.3426532327
432	0.3425681017
433	0.3423933442
434	0.3423132987
435	0.3420764682
436	0.3419566509
437	0.3418749391
438	0.3417891636
439	0.3414653227
440	0.3412487652
441	0.3411181669
442	0.3410720466
443	0.3410317073
444	0.3409672442
445	0.3406888719
446	0.3405822162
447	0.3404743796
448	0.3403948974
449	0.3402850473
450	0.3399732544
451	0.3399310487
452	0.3397827628
453	0.3396028323
454	0.3395256276
455	0.3393025375
456	0.3392324749
457	0.3390670031
458	0.3388565279
459	0.3387225855
460	0.3384480792
461	0.3382728869
462	0.3381405345
463	0.3379598431
464	0.3378211219
465	0.3377672846
466	0.3375555632
467	0.3374540761
468	0.3372948849
469	0.3371640511
470	0.3371152915
471	0.3369938491
472	0.3368487209
473	0.336630739
474	0.3364175192
475	0.3363159826
476	0.3361340305
477	0.335973995
478	0.3359085425
479	0.3356873221
480	0.3355398429
481	0.3353877152
482	0.3352929609
483	0.3351722179
484	0.3351175445
485	0.3350482265
486	0.3349627138
487	0.3348487418
488	0.3347582316
489	0.3346923585
490	0.3346104942
491	0.3343737411
492	0.3342022182
493	0.334048038
494	0.3339298825
495	0.3335977338
496	0.3334361369
497	0.3333418137
498	0.3332395908
499	0.3331084132
