iter	Logloss
0	0.6700755316
1	0.6521343241
2	0.6345053167
3	0.6143877809
4	0.5977716406
5	0.5826577483
6	0.5687081486
7	0.55609371
8	0.5443743066
9	0.5360615502
10	0.5274698729
11	0.5180998867
12	0.5104723269
13	0.503035179
14	0.4955930155
15	0.4893621608
16	0.4830008248
17	0.4771820716
18	0.4724038061
19	0.4686332151
20	0.4646279456
21	0.4606545967
22	0.4571693631
23	0.4534219228
24	0.450114398
25	0.4467376433
26	0.4438940497
27	0.4410277426
28	0.4391568865
29	0.4366488383
30	0.4341251971
31	0.4322095771
32	0.4301472427
33	0.4282665114
34	0.4275934085
35	0.4261963607
36	0.4254580035
37	0.4246153485
38	0.4232450816
39	0.4220847412
40	0.4208937738
41	0.419471821
42	0.4178185765
43	0.4163606024
44	0.4153038001
45	0.4146893403
46	0.4136199713
47	0.4127254913
48	0.4121527204
49	0.4113470947
50	0.410579566
51	0.4097002405
52	0.4094220034
53	0.4088415157
54	0.4085759028
55	0.407834532
56	0.4075254651
57	0.4074257263
58	0.4072999609
59	0.4068708668
60	0.4062464583
61	0.4058051561
62	0.4052904528
63	0.4047053632
64	0.4044538261
65	0.4041653337
66	0.4035805376
67	0.4034628237
68	0.4029611827
69	0.4029125805
70	0.4026781715
71	0.4020724463
72	0.4016418251
73	0.4012894547
74	0.400661013
75	0.4000648675
76	0.3998499433
77	0.3998105672
78	0.3992967882
79	0.3987416841
80	0.3986876309
81	0.3981831963
82	0.3977358423
83	0.3974211442
84	0.3970721126
85	0.3969396257
86	0.3963543993
87	0.3960420023
88	0.3954784445
89	0.3954534378
90	0.3954147702
91	0.3949219967
92	0.394566421
93	0.3944441362
94	0.3942881464
95	0.3941105117
96	0.394067438
97	0.3939407361
98	0.3939230718
99	0.3938865167
100	0.3935769078
101	0.3933747986
102	0.3932692544
103	0.3929643582
104	0.3926661186
105	0.3925718428
106	0.3923491564
107	0.3922338977
108	0.3921058262
109	0.3920691914
110	0.3918898275
111	0.391649228
112	0.3913361352
113	0.3913099459
114	0.3908298842
115	0.3908022043
116	0.390784897
117	0.3906378448
118	0.390263555
119	0.3902634802
120	0.3901424795
121	0.3898804866
122	0.3896218137
123	0.3895208423
124	0.3892926063
125	0.3892922587
126	0.3888277049
127	0.3886970774
128	0.3884353262
129	0.3882099538
130	0.3880497674
131	0.3879086757
132	0.3879086569
