iter	Passed	Remaining
401	14679	3578
402	14733	3546
403	14769	3509
404	14814	3475
405	14847	3437
406	14872	3398
407	14961	3373
408	15003	3338
409	15038	3301
410	15067	3262
411	15099	3225
412	15148	3191
413	15173	3152
414	15226	3118
415	15274	3084
416	15306	3046
417	15343	3009
418	15415	2980
419	15447	2942
420	15507	2909
421	15544	2873
422	15574	2835
423	15606	2797
424	15643	2760
425	15676	2723
426	15703	2684
427	15748	2649
428	15796	2614
429	15825	2576
430	15850	2537
431	15890	2501
432	15915	2462
433	15982	2430
434	16015	2393
435	16063	2357
436	16095	2320
437	16141	2284
438	16181	2248
439	16207	2210
440	16253	2174
441	16283	2136
442	16314	2099
443	16347	2061
444	16379	2024
445	16456	1992
446	16490	1955
447	16515	1916
448	16572	1882
449	16601	1844
450	16627	1806
451	16665	1769
452	16707	1733
453	16739	1696
454	16771	1658
455	16802	1621
456	16834	1584
457	16869	1546
458	16899	1509
459	16947	1473
460	16971	1435
461	17011	1399
462	17047	1362
463	17078	1325
464	17104	1287
465	17136	1250
466	17168	1213
467	17199	1176
468	17232	1139
469	17269	1102
470	17294	1064
471	17327	1027
472	17359	990
473	17391	953
474	17422	916
475	17451	879
476	17484	843
477	17517	806
478	17548	769
479	17580	732
480	17612	695
481	17645	658
482	17674	622
483	17724	585
484	17749	548
485	17788	512
486	17819	475
487	17852	438
488	17884	402
489	17909	365
490	17945	328
491	17979	292
492	18003	255
493	18043	219
494	18076	182
495	18123	146
496	18171	109
497	18206	73
498	18231	36
499	18275	0
